1,0,26,9
2,0,27,12
2,0,12,3
2,0,12,9
2,0,15,11
3,0,9,5
4,0,14,10
4,0,2,5
4,0,1,12
4,0,31,13
4,0,24,7
5,1,21,1
5,1,23,8
5,0,17,2
6,1,5,5
7,1,19,4
8,1,27,8
9,1,22,5
9,0,1,2
10,1,10,12
11,0,26,6
12,1,25,6
12,1,16,2
12,0,28,14
12,0,8,5
13,0,13,4
13,0,17,6
14,1,18,1
14,1,10,13
14,0,31,2
14,0,31,10
15,0,28,6
16,1,14,5
16,0,14,5
17,1,8,1
17,0,3,2
18,1,2,10
18,0,21,3
18,1,5,11
19,1,26,7
20,1,5,6
20,0,18,6
20,1,24,7
21,0,2,10
21,0,25,3
21,1,10,13
22,1,12,6
23,1,19,6
23,0,27,13
23,0,17,11
24,0,16,10
24,0,24,7
25,0,23,6
25,1,19,3
25,0,24,8
25,0,27,12
26,0,22,5
26,0,20,3
26,0,6,2
26,1,27,5
26,0,32,13
27,0,21,8
27,0,23,9
27,0,28,13
27,0,16,11
28,0,18,13
29,1,19,3
29,0,23,12
29,1,24,6
29,0,9,8
30,1,19,7
30,0,7,10
30,0,21,11
30,0,27,1
30,0,31,8
31,0,4,1
31,1,27,10
31,0,30,7
31,0,2,13
32,1,11,5
32,1,13,2
32,0,11,13

