1,1,27,4
1,0,18,1
2,1,4,6
2,0,32,2
2,0,23,6
2,1,10,3
3,1,5,12
4,1,29,9
4,0,21,11
5,1,3,14
5,1,14,9
6,0,10,7
7,0,28,3
8,0,6,2
8,0,31,13
8,0,23,11
8,1,1,12
9,0,19,12
9,0,17,7
9,0,20,4
9,0,5,9
10,1,15,14
10,1,21,7
10,1,3,2
11,1,32,5
11,0,32,8
11,1,30,2
11,0,13,5
12,1,15,2
12,0,30,7
12,1,28,10
13,0,30,8
13,1,7,10
13,1,19,3
13,0,17,1
13,1,7,3
14,0,23,1
14,1,25,13
14,1,3,1
14,0,21,9
14,0,24,7
15,1,6,13
15,0,23,14
15,1,24,5
15,0,21,5
15,1,23,11
16,0,20,3
16,1,29,7
17,0,14,7
17,1,22,7
17,0,29,13
17,0,6,14
18,1,18,9
18,0,8,2
19,0,27,5
19,0,4,2
19,0,5,5
20,0,29,13
20,1,18,10
20,0,32,11
20,0,26,4
21,1,6,11
21,0,6,5
22,0,23,14
22,1,7,12
22,1,5,2
22,0,1,3
23,1,3,9
24,1,9,6
24,0,6,13
24,0,23,4
25,0,28,9
25,1,7,7
25,0,20,11
25,0,9,2
25,1,20,4
26,0,32,8
26,0,8,6
26,1,4,11
26,0,9,13
27,0,13,11
28,1,28,6
28,1,2,6
28,0,2,2
28,1,30,6
28,0,24,3
29,0,16,9
30,0,28,14
30,1,27,8
31,1,24,3
31,0,19,4
32,0,7,12

