1,0,14,9
1,1,13,10
1,1,25,8
1,1,25,9
1,0,26,3
2,1,3,7
2,0,27,10
2,1,2,13
2,0,9,9
2,1,23,1
3,1,24,3
3,1,19,5
3,1,32,13
3,1,25,14
3,0,28,14
4,1,10,5
4,1,4,13
4,1,15,7
5,0,21,7
5,1,28,5
5,0,21,4
5,1,15,13
5,1,14,13
6,1,23,6
6,1,25,12
6,1,5,6
6,1,10,10
6,0,23,7
7,1,14,7
8,1,15,9
8,0,28,12
8,1,5,3
8,1,20,5
9,1,24,11
9,0,19,11
10,1,30,13
11,1,24,11
11,0,24,1
12,0,12,2
12,1,27,5
12,0,32,7
12,1,13,9
13,1,16,6
13,0,28,7
13,0,10,2
14,1,8,2
14,1,5,12
14,1,15,3
14,1,30,10
15,0,31,12
16,1,11,10
16,1,17,4
16,1,32,6
16,1,9,8
16,1,30,8
17,0,23,14
17,0,23,3
17,1,8,3
18,1,14,10
18,1,26,8
18,0,10,9
18,0,8,2
18,1,3,8
19,0,24,3
19,0,7,1
20,0,15,14
20,1,18,6
21,0,1,1
22,0,10,14
22,1,29,4
23,1,31,1
23,0,21,1
23,1,5,3
23,0,12,2
23,0,16,12
24,1,31,5
24,0,23,8
24,0,31,7
25,1,24,13
25,0,1,5
26,1,25,3
27,1,6,3
27,1,18,7
27,1,30,3
28,0,14,10
28,0,24,2
28,1,23,2
28,1,16,11
28,0,30,5
29,1,11,1
30,1,16,2
30,0,1,2
30,1,10,12
30,0,23,4
31,1,21,2
32,0,32,13

