1,0,6,13
2,0,19,2
2,1,26,6
2,0,20,13
2,0,13,4
3,0,4,11
3,0,5,4
3,1,31,12
4,0,11,3
4,1,17,5
4,1,4,10
4,0,6,9
4,1,10,5
5,0,21,10
5,1,21,13
5,1,6,14
6,1,11,4
6,1,7,1
6,1,31,13
6,1,2,3
7,1,14,5
7,1,29,9
7,1,2,6
8,0,32,10
8,0,22,13
9,0,29,2
10,0,20,2
10,1,21,7
10,0,26,14
10,1,26,10
10,1,14,7
11,0,16,13
12,0,32,8
12,1,17,14
12,0,3,5
13,1,32,6
13,1,3,11
13,1,3,4
13,0,32,1
13,1,4,1
14,1,7,1
14,0,26,9
15,1,7,12
15,1,5,3
16,1,5,10
16,1,26,1
16,1,28,2
16,1,23,7
16,0,14,11
17,1,18,5
17,0,7,14
18,1,29,13
19,0,8,9
19,0,21,12
20,0,21,9
20,0,32,2
21,1,29,4
21,1,5,7
21,0,22,13
21,1,14,7
22,1,19,7
22,0,32,11
22,0,22,5
23,1,3,11
23,1,28,2
23,1,29,6
23,0,4,3
24,0,24,9
25,1,32,12
25,0,10,8
25,1,26,12
26,1,14,11
26,0,30,8
26,1,16,11
26,0,4,3
27,0,2,12
27,0,6,8
27,1,15,12
27,0,9,5
27,0,4,14
28,1,20,10
28,1,29,5
28,0,26,6
29,1,12,13
29,1,30,11
29,1,24,1
30,1,25,5
30,1,32,7
30,1,27,4
30,1,13,10
31,1,13,2
31,0,5,11
31,0,29,13
32,0,12,2
32,1,25,13
32,1,31,8
32,0,14,12
32,0,4,9

